Drug_Name,Target_Gene,Target_Protein,Condition,Therapeutic_Class,Mechanism_of_Action,Clinical_Trial_Phase,Status
Drug_558,Gene_151,Protein_5,Anxiety,Glutamatergic Modulator,Mechanism_5,Phase 1,Investigational
Drug_559,Gene_351,Protein_148,Anxiety,SSRI,Mechanism_39,Phase 3,Investigational
Drug_560,Gene_454,Protein_142,Depression,NaSSA,Mechanism_98,Phase 1,Approved
Drug_561,Gene_31,Protein_175,Psychosis,Beta-Blocker,Mechanism_127,Approved,Approved
Drug_562,Gene_185,Protein_300,Psychosis,NDRI,Mechanism_18,Phase 3,Approved
Drug_563,Gene_402,Protein_182,Depression,Glutamatergic Modulator,Mechanism_188,Phase 1,Experimental
Drug_564,Gene_474,Protein_179,Depression,Psychedelic,Mechanism_56,Phase 1,Investigational
Drug_565,Gene_156,Protein_108,Depression,Glutamatergic Modulator,Mechanism_113,Preclinical,Approved
Drug_566,Gene_144,Protein_153,Psychosis,Glutamatergic Modulator,Mechanism_81,Phase 2,Experimental
Drug_567,Gene_361,Protein_298,Anxiety,Azapirone,Mechanism_99,Phase 3,Approved
Drug_568,Gene_161,Protein_179,Depression,SSRI,Mechanism_83,Phase 2,Experimental
Drug_569,Gene_237,Protein_258,Psychosis,Beta-Blocker,Mechanism_43,Preclinical,Investigational
Drug_570,Gene_239,Protein_250,Depression,NDRI,Mechanism_91,Phase 1,Approved
Drug_571,Gene_176,Protein_52,Psychosis,Azapirone,Mechanism_32,Phase 3,Approved
Drug_572,Gene_473,Protein_81,Anxiety,Psychedelic,Mechanism_123,Phase 3,Approved
Drug_573,Gene_237,Protein_294,Depression,Benzodiazepine,Mechanism_46,Preclinical,Investigational
Drug_574,Gene_222,Protein_15,Depression,NaSSA,Mechanism_87,Phase 2,Experimental
Drug_575,Gene_185,Protein_142,Depression,Orexin Antagonist,Mechanism_107,Phase 1,Experimental
Drug_576,Gene_57,Protein_159,Anxiety,Benzodiazepine,Mechanism_122,Phase 2,Experimental
Drug_577,Gene_86,Protein_265,Anxiety,Azapirone,Mechanism_137,Phase 1,Experimental
Drug_578,Gene_186,Protein_217,Anxiety,Psychedelic,Mechanism_34,Phase 2,Approved
Drug_579,Gene_298,Protein_112,Psychosis,Azapirone,Mechanism_13,Preclinical,Investigational
Drug_580,Gene_282,Protein_128,Depression,Orexin Antagonist,Mechanism_20,Phase 1,Experimental
Drug_581,Gene_239,Protein_10,Anxiety,Glutamatergic Modulator,Mechanism_59,Approved,Experimental
Drug_582,Gene_379,Protein_30,Anxiety,Atypical Antipsychotic,Mechanism_147,Approved,Investigational
Drug_583,Gene_355,Protein_202,Anxiety,SSRI,Mechanism_120,Approved,Approved
Drug_584,Gene_220,Protein_272,Anxiety,Benzodiazepine,Mechanism_108,Phase 2,Approved
Drug_585,Gene_428,Protein_278,Anxiety,SNRI,Mechanism_101,Preclinical,Approved
Drug_586,Gene_242,Protein_123,Anxiety,Atypical Antipsychotic,Mechanism_120,Approved,Investigational
Drug_587,Gene_63,Protein_197,Psychosis,Benzodiazepine,Mechanism_53,Approved,Experimental
Drug_588,Gene_339,Protein_222,Depression,SNRI,Mechanism_38,Phase 2,Approved
Drug_589,Gene_370,Protein_275,Anxiety,Benzodiazepine,Mechanism_52,Phase 3,Experimental
Drug_590,Gene_170,Protein_62,Anxiety,Psychedelic,Mechanism_136,Phase 3,Investigational
Drug_591,Gene_82,Protein_202,Anxiety,SSRI,Mechanism_118,Approved,Experimental
Drug_592,Gene_271,Protein_192,Anxiety,Azapirone,Mechanism_165,Phase 3,Investigational
Drug_593,Gene_235,Protein_142,Psychosis,Atypical Antipsychotic,Mechanism_26,Phase 3,Investigational
Drug_594,Gene_40,Protein_211,Psychosis,Benzodiazepine,Mechanism_158,Preclinical,Investigational
Drug_595,Gene_284,Protein_46,Depression,Benzodiazepine,Mechanism_31,Phase 1,Approved
Drug_596,Gene_105,Protein_101,Anxiety,Azapirone,Mechanism_17,Phase 3,Experimental
Drug_597,Gene_81,Protein_62,Psychosis,NaSSA,Mechanism_15,Approved,Investigational
Drug_598,Gene_401,Protein_232,Psychosis,Glutamatergic Modulator,Mechanism_108,Approved,Investigational
Drug_599,Gene_341,Protein_112,Psychosis,Beta-Blocker,Mechanism_80,Phase 2,Approved
Drug_600,Gene_216,Protein_59,Psychosis,Atypical Antipsychotic,Mechanism_176,Preclinical,Approved
Drug_601,Gene_136,Protein_41,Depression,Glycine Modulator,Mechanism_158,Phase 1,Experimental
Drug_602,Gene_189,Protein_17,Anxiety,Beta-Blocker,Mechanism_67,Phase 2,Investigational
Drug_603,Gene_320,Protein_188,Anxiety,Psychedelic,Mechanism_85,Preclinical,Approved
Drug_604,Gene_294,Protein_198,Anxiety,NDRI,Mechanism_80,Approved,Approved
Drug_605,Gene_442,Protein_106,Anxiety,Glycine Modulator,Mechanism_86,Phase 3,Approved
Drug_606,Gene_108,Protein_93,Psychosis,Psychedelic,Mechanism_3,Phase 1,Investigational
Drug_607,Gene_432,Protein_278,Anxiety,Glycine Modulator,Mechanism_14,Phase 2,Experimental
Drug_608,Gene_448,Protein_281,Anxiety,Atypical Antipsychotic,Mechanism_35,Approved,Investigational
Drug_609,Gene_125,Protein_171,Depression,Atypical Antipsychotic,Mechanism_94,Phase 2,Approved
Drug_610,Gene_52,Protein_118,Psychosis,NDRI,Mechanism_34,Approved,Investigational
Drug_611,Gene_232,Protein_148,Psychosis,Glutamatergic Modulator,Mechanism_105,Phase 1,Experimental
Drug_612,Gene_352,Protein_212,Anxiety,Benzodiazepine,Mechanism_105,Phase 2,Experimental
Drug_613,Gene_182,Protein_15,Depression,Beta-Blocker,Mechanism_159,Approved,Investigational
Drug_614,Gene_113,Protein_287,Depression,Benzodiazepine,Mechanism_67,Preclinical,Investigational
Drug_615,Gene_379,Protein_95,Anxiety,Psychedelic,Mechanism_189,Phase 2,Approved
Drug_616,Gene_85,Protein_28,Depression,NaSSA,Mechanism_37,Phase 1,Approved
Drug_617,Gene_427,Protein_144,Psychosis,Glycine Modulator,Mechanism_161,Phase 1,Investigational
Drug_618,Gene_113,Protein_51,Depression,Benzodiazepine,Mechanism_86,Phase 3,Experimental
Drug_619,Gene_87,Protein_50,Anxiety,Atypical Antipsychotic,Mechanism_121,Approved,Experimental
Drug_620,Gene_71,Protein_172,Depression,Psychedelic,Mechanism_11,Phase 3,Experimental
Drug_621,Gene_301,Protein_149,Psychosis,SNRI,Mechanism_20,Approved,Experimental
Drug_622,Gene_211,Protein_20,Anxiety,Atypical Antipsychotic,Mechanism_108,Phase 2,Experimental
Drug_623,Gene_41,Protein_238,Psychosis,Glycine Modulator,Mechanism_69,Preclinical,Investigational
Drug_624,Gene_315,Protein_231,Depression,Beta-Blocker,Mechanism_163,Phase 1,Experimental
Drug_625,Gene_12,Protein_201,Depression,SNRI,Mechanism_154,Phase 3,Investigational
Drug_626,Gene_122,Protein_264,Anxiety,NaSSA,Mechanism_61,Phase 2,Experimental
Drug_627,Gene_300,Protein_210,Psychosis,Glutamatergic Modulator,Mechanism_92,Approved,Experimental
Drug_628,Gene_87,Protein_202,Psychosis,Azapirone,Mechanism_6,Preclinical,Experimental
Drug_629,Gene_18,Protein_214,Psychosis,Glutamatergic Modulator,Mechanism_5,Phase 3,Experimental
Drug_630,Gene_493,Protein_55,Depression,SNRI,Mechanism_72,Preclinical,Investigational
Drug_631,Gene_208,Protein_155,Anxiety,Glycine Modulator,Mechanism_171,Phase 3,Experimental
Drug_632,Gene_270,Protein_17,Depression,Psychedelic,Mechanism_50,Phase 3,Experimental
Drug_633,Gene_383,Protein_247,Anxiety,Azapirone,Mechanism_58,Preclinical,Experimental
Drug_634,Gene_190,Protein_117,Anxiety,SNRI,Mechanism_84,Approved,Approved
Drug_635,Gene_37,Protein_53,Depression,SSRI,Mechanism_177,Phase 2,Experimental
Drug_636,Gene_185,Protein_96,Anxiety,NDRI,Mechanism_156,Approved,Investigational
Drug_637,Gene_281,Protein_55,Anxiety,Atypical Antipsychotic,Mechanism_173,Preclinical,Experimental
Drug_638,Gene_63,Protein_300,Depression,NDRI,Mechanism_1,Preclinical,Investigational
Drug_639,Gene_235,Protein_4,Anxiety,Orexin Antagonist,Mechanism_146,Phase 3,Experimental
Drug_640,Gene_365,Protein_164,Psychosis,NDRI,Mechanism_13,Phase 3,Approved
Drug_641,Gene_143,Protein_53,Depression,Glutamatergic Modulator,Mechanism_114,Approved,Investigational
Drug_642,Gene_292,Protein_58,Anxiety,Psychedelic,Mechanism_20,Phase 2,Experimental
Drug_643,Gene_195,Protein_150,Depression,Benzodiazepine,Mechanism_26,Phase 1,Experimental
Drug_644,Gene_443,Protein_241,Depression,Atypical Antipsychotic,Mechanism_86,Approved,Investigational
Drug_645,Gene_119,Protein_243,Depression,Orexin Antagonist,Mechanism_185,Phase 3,Approved
Drug_646,Gene_258,Protein_153,Anxiety,NDRI,Mechanism_54,Approved,Investigational
Drug_647,Gene_394,Protein_256,Depression,NDRI,Mechanism_92,Phase 2,Investigational
Drug_648,Gene_384,Protein_188,Psychosis,Psychedelic,Mechanism_24,Approved,Approved
Drug_649,Gene_315,Protein_90,Psychosis,SSRI,Mechanism_55,Phase 2,Experimental
Drug_650,Gene_375,Protein_194,Psychosis,Beta-Blocker,Mechanism_114,Phase 2,Approved
Drug_651,Gene_319,Protein_149,Anxiety,SSRI,Mechanism_138,Phase 1,Approved
Drug_652,Gene_176,Protein_80,Anxiety,NDRI,Mechanism_129,Phase 2,Investigational
Drug_653,Gene_231,Protein_30,Depression,NaSSA,Mechanism_77,Preclinical,Approved
Drug_654,Gene_51,Protein_32,Depression,Benzodiazepine,Mechanism_1,Approved,Investigational
Drug_655,Gene_327,Protein_202,Depression,SNRI,Mechanism_98,Approved,Investigational
Drug_656,Gene_461,Protein_296,Depression,SNRI,Mechanism_22,Phase 3,Approved
Drug_657,Gene_331,Protein_254,Depression,Glutamatergic Modulator,Mechanism_107,Preclinical,Experimental
Drug_658,Gene_63,Protein_81,Anxiety,Azapirone,Mechanism_28,Phase 1,Approved
Drug_659,Gene_489,Protein_246,Psychosis,NaSSA,Mechanism_184,Phase 2,Experimental
Drug_660,Gene_391,Protein_238,Anxiety,NaSSA,Mechanism_69,Phase 3,Experimental
Drug_661,Gene_494,Protein_258,Psychosis,Psychedelic,Mechanism_8,Phase 1,Investigational
Drug_662,Gene_466,Protein_28,Psychosis,Glutamatergic Modulator,Mechanism_197,Approved,Experimental
Drug_663,Gene_72,Protein_290,Psychosis,Atypical Antipsychotic,Mechanism_109,Phase 1,Investigational
Drug_664,Gene_74,Protein_38,Anxiety,SNRI,Mechanism_55,Approved,Approved
Drug_665,Gene_385,Protein_80,Psychosis,SSRI,Mechanism_68,Approved,Experimental
Drug_666,Gene_146,Protein_75,Depression,NaSSA,Mechanism_76,Approved,Approved
Drug_667,Gene_394,Protein_234,Depression,SSRI,Mechanism_187,Phase 3,Approved
Drug_668,Gene_192,Protein_197,Psychosis,NDRI,Mechanism_63,Phase 3,Approved
Drug_669,Gene_197,Protein_66,Depression,Glutamatergic Modulator,Mechanism_148,Phase 1,Investigational
Drug_670,Gene_460,Protein_40,Psychosis,Benzodiazepine,Mechanism_64,Preclinical,Experimental
Drug_671,Gene_302,Protein_261,Psychosis,NaSSA,Mechanism_97,Approved,Experimental
Drug_672,Gene_24,Protein_235,Anxiety,Glutamatergic Modulator,Mechanism_62,Phase 2,Experimental
Drug_673,Gene_313,Protein_56,Psychosis,NDRI,Mechanism_7,Preclinical,Approved
Drug_674,Gene_181,Protein_97,Anxiety,SNRI,Mechanism_94,Phase 2,Experimental
Drug_675,Gene_476,Protein_273,Anxiety,Beta-Blocker,Mechanism_18,Phase 3,Approved
Drug_676,Gene_171,Protein_117,Depression,Benzodiazepine,Mechanism_182,Phase 1,Experimental
Drug_677,Gene_87,Protein_172,Anxiety,Glutamatergic Modulator,Mechanism_18,Phase 1,Approved
Drug_678,Gene_203,Protein_109,Anxiety,SNRI,Mechanism_187,Approved,Approved
Drug_679,Gene_85,Protein_151,Anxiety,Orexin Antagonist,Mechanism_169,Phase 2,Approved
Drug_680,Gene_12,Protein_67,Psychosis,SSRI,Mechanism_151,Preclinical,Experimental
Drug_681,Gene_88,Protein_1,Psychosis,Glutamatergic Modulator,Mechanism_110,Phase 2,Investigational
Drug_682,Gene_361,Protein_113,Depression,Atypical Antipsychotic,Mechanism_7,Phase 3,Approved
Drug_683,Gene_88,Protein_241,Depression,Glutamatergic Modulator,Mechanism_38,Phase 3,Approved
Drug_684,Gene_457,Protein_206,Depression,Glutamatergic Modulator,Mechanism_46,Phase 3,Investigational
Drug_685,Gene_323,Protein_33,Psychosis,SSRI,Mechanism_115,Preclinical,Experimental
Drug_686,Gene_438,Protein_248,Depression,Beta-Blocker,Mechanism_29,Preclinical,Approved
Drug_687,Gene_221,Protein_250,Depression,NaSSA,Mechanism_131,Phase 2,Approved
Drug_688,Gene_139,Protein_191,Anxiety,Beta-Blocker,Mechanism_9,Phase 2,Approved
Drug_689,Gene_112,Protein_54,Depression,SNRI,Mechanism_175,Phase 3,Approved
Drug_690,Gene_219,Protein_178,Depression,SSRI,Mechanism_112,Phase 1,Approved
Drug_691,Gene_176,Protein_174,Psychosis,Glutamatergic Modulator,Mechanism_52,Approved,Experimental
Drug_692,Gene_439,Protein_210,Anxiety,SNRI,Mechanism_135,Approved,Experimental
Drug_693,Gene_344,Protein_189,Anxiety,Azapirone,Mechanism_149,Phase 2,Approved
Drug_694,Gene_71,Protein_234,Psychosis,NaSSA,Mechanism_156,Phase 3,Experimental
Drug_695,Gene_140,Protein_197,Depression,Glutamatergic Modulator,Mechanism_156,Phase 3,Investigational
Drug_696,Gene_272,Protein_272,Psychosis,SNRI,Mechanism_191,Approved,Investigational
Drug_697,Gene_218,Protein_215,Psychosis,Beta-Blocker,Mechanism_61,Preclinical,Experimental
Drug_698,Gene_61,Protein_221,Psychosis,Benzodiazepine,Mechanism_200,Phase 3,Approved
Drug_699,Gene_201,Protein_280,Psychosis,NaSSA,Mechanism_4,Phase 3,Experimental
Drug_700,Gene_148,Protein_209,Depression,SNRI,Mechanism_11,Preclinical,Investigational
Drug_701,Gene_419,Protein_243,Psychosis,Glycine Modulator,Mechanism_104,Phase 3,Investigational
Drug_702,Gene_69,Protein_144,Psychosis,Azapirone,Mechanism_130,Phase 2,Investigational
Drug_703,Gene_429,Protein_166,Depression,SSRI,Mechanism_119,Approved,Approved
Drug_704,Gene_187,Protein_288,Anxiety,NaSSA,Mechanism_3,Phase 2,Investigational
Drug_705,Gene_127,Protein_126,Anxiety,NaSSA,Mechanism_101,Approved,Investigational
Drug_706,Gene_106,Protein_61,Psychosis,Beta-Blocker,Mechanism_24,Approved,Investigational
Drug_707,Gene_290,Protein_34,Psychosis,Psychedelic,Mechanism_184,Phase 3,Approved
Drug_708,Gene_41,Protein_298,Depression,Glycine Modulator,Mechanism_62,Phase 2,Experimental
Drug_709,Gene_252,Protein_34,Anxiety,Azapirone,Mechanism_22,Phase 1,Approved
Drug_710,Gene_110,Protein_291,Depression,SSRI,Mechanism_9,Phase 1,Experimental
Drug_711,Gene_167,Protein_45,Anxiety,SSRI,Mechanism_147,Approved,Experimental
Drug_712,Gene_345,Protein_153,Anxiety,Glycine Modulator,Mechanism_181,Preclinical,Approved
Drug_713,Gene_383,Protein_224,Psychosis,Psychedelic,Mechanism_194,Approved,Approved
Drug_714,Gene_12,Protein_298,Anxiety,NDRI,Mechanism_44,Phase 1,Approved
Drug_715,Gene_492,Protein_132,Psychosis,Orexin Antagonist,Mechanism_140,Phase 1,Investigational
Drug_716,Gene_103,Protein_54,Psychosis,Orexin Antagonist,Mechanism_136,Phase 1,Approved
Drug_717,Gene_226,Protein_251,Anxiety,Glutamatergic Modulator,Mechanism_20,Preclinical,Investigational
Drug_718,Gene_260,Protein_177,Psychosis,NDRI,Mechanism_43,Phase 2,Investigational
Drug_719,Gene_67,Protein_98,Psychosis,SSRI,Mechanism_28,Approved,Approved
Drug_720,Gene_206,Protein_198,Depression,Psychedelic,Mechanism_140,Phase 2,Experimental
Drug_721,Gene_364,Protein_91,Psychosis,NaSSA,Mechanism_77,Phase 2,Investigational
Drug_722,Gene_213,Protein_288,Psychosis,Benzodiazepine,Mechanism_180,Phase 2,Experimental
Drug_723,Gene_286,Protein_48,Anxiety,NaSSA,Mechanism_154,Phase 2,Approved
Drug_724,Gene_146,Protein_142,Psychosis,Glutamatergic Modulator,Mechanism_17,Phase 2,Experimental
Drug_725,Gene_116,Protein_39,Depression,Orexin Antagonist,Mechanism_51,Phase 1,Investigational
Drug_726,Gene_80,Protein_121,Depression,Orexin Antagonist,Mechanism_116,Preclinical,Experimental
Drug_727,Gene_56,Protein_215,Anxiety,SNRI,Mechanism_165,Approved,Investigational
Drug_728,Gene_483,Protein_245,Psychosis,Beta-Blocker,Mechanism_153,Approved,Experimental
Drug_729,Gene_156,Protein_188,Depression,Atypical Antipsychotic,Mechanism_83,Preclinical,Approved
Drug_730,Gene_62,Protein_37,Depression,NDRI,Mechanism_55,Phase 2,Approved
Drug_731,Gene_351,Protein_185,Psychosis,Atypical Antipsychotic,Mechanism_175,Phase 1,Experimental
Drug_732,Gene_276,Protein_294,Psychosis,Atypical Antipsychotic,Mechanism_121,Phase 3,Experimental
Drug_733,Gene_151,Protein_205,Depression,Atypical Antipsychotic,Mechanism_60,Phase 1,Investigational
Drug_734,Gene_240,Protein_255,Anxiety,Glutamatergic Modulator,Mechanism_152,Phase 1,Experimental
Drug_735,Gene_396,Protein_94,Depression,Azapirone,Mechanism_66,Phase 3,Experimental
Drug_736,Gene_478,Protein_55,Depression,Azapirone,Mechanism_2,Phase 1,Approved
Drug_737,Gene_47,Protein_243,Anxiety,Glutamatergic Modulator,Mechanism_185,Phase 2,Approved
Drug_738,Gene_49,Protein_162,Depression,SNRI,Mechanism_30,Phase 3,Approved
Drug_739,Gene_35,Protein_109,Psychosis,NaSSA,Mechanism_12,Approved,Investigational
Drug_740,Gene_218,Protein_9,Depression,NaSSA,Mechanism_156,Phase 2,Experimental
Drug_741,Gene_312,Protein_149,Depression,NaSSA,Mechanism_23,Approved,Investigational
Drug_742,Gene_492,Protein_184,Depression,Psychedelic,Mechanism_123,Preclinical,Experimental
Drug_743,Gene_284,Protein_271,Psychosis,Glycine Modulator,Mechanism_46,Approved,Investigational
Drug_744,Gene_46,Protein_146,Depression,Glutamatergic Modulator,Mechanism_4,Approved,Approved
Drug_745,Gene_398,Protein_99,Anxiety,NaSSA,Mechanism_19,Phase 1,Investigational
Drug_746,Gene_468,Protein_126,Anxiety,Azapirone,Mechanism_78,Phase 1,Experimental
Drug_747,Gene_330,Protein_149,Anxiety,Benzodiazepine,Mechanism_81,Approved,Investigational
Drug_748,Gene_212,Protein_76,Depression,Orexin Antagonist,Mechanism_53,Preclinical,Experimental
Drug_749,Gene_494,Protein_159,Anxiety,SSRI,Mechanism_31,Phase 1,Experimental
Drug_750,Gene_451,Protein_25,Psychosis,Glycine Modulator,Mechanism_93,Phase 2,Investigational
Drug_751,Gene_1,Protein_32,Psychosis,Beta-Blocker,Mechanism_134,Phase 1,Experimental
Drug_752,Gene_316,Protein_273,Psychosis,NaSSA,Mechanism_195,Phase 3,Experimental
Drug_753,Gene_278,Protein_182,Anxiety,Benzodiazepine,Mechanism_132,Phase 2,Investigational
Drug_754,Gene_420,Protein_156,Depression,NDRI,Mechanism_60,Phase 2,Experimental
Drug_755,Gene_342,Protein_1,Anxiety,NaSSA,Mechanism_139,Approved,Investigational
Drug_756,Gene_475,Protein_297,Anxiety,Beta-Blocker,Mechanism_171,Phase 1,Approved
Drug_757,Gene_277,Protein_58,Depression,Orexin Antagonist,Mechanism_18,Phase 1,Approved
Drug_758,Gene_109,Protein_10,Anxiety,Psychedelic,Mechanism_74,Phase 3,Approved
Drug_759,Gene_203,Protein_240,Depression,Benzodiazepine,Mechanism_68,Phase 1,Experimental
Drug_760,Gene_313,Protein_249,Depression,Beta-Blocker,Mechanism_129,Phase 3,Experimental
Drug_761,Gene_268,Protein_91,Depression,Azapirone,Mechanism_152,Phase 3,Investigational
Drug_762,Gene_482,Protein_222,Anxiety,Psychedelic,Mechanism_116,Phase 1,Experimental
Drug_763,Gene_208,Protein_56,Anxiety,Glutamatergic Modulator,Mechanism_98,Approved,Investigational
Drug_764,Gene_114,Protein_245,Psychosis,SNRI,Mechanism_154,Preclinical,Investigational
Drug_765,Gene_380,Protein_228,Depression,SSRI,Mechanism_187,Phase 2,Experimental
Drug_766,Gene_36,Protein_234,Anxiety,Orexin Antagonist,Mechanism_33,Approved,Approved
Drug_767,Gene_141,Protein_256,Depression,Benzodiazepine,Mechanism_48,Phase 3,Approved
Drug_768,Gene_100,Protein_193,Depression,SNRI,Mechanism_21,Phase 3,Experimental
Drug_769,Gene_118,Protein_187,Psychosis,Beta-Blocker,Mechanism_80,Phase 3,Approved
Drug_770,Gene_221,Protein_149,Psychosis,NDRI,Mechanism_88,Preclinical,Experimental
Drug_771,Gene_320,Protein_268,Anxiety,Atypical Antipsychotic,Mechanism_144,Phase 2,Approved
Drug_772,Gene_418,Protein_157,Anxiety,Atypical Antipsychotic,Mechanism_105,Preclinical,Approved
Drug_773,Gene_243,Protein_244,Psychosis,Benzodiazepine,Mechanism_88,Approved,Experimental
Drug_774,Gene_271,Protein_117,Psychosis,Beta-Blocker,Mechanism_148,Phase 2,Investigational
Drug_775,Gene_403,Protein_245,Psychosis,Orexin Antagonist,Mechanism_119,Phase 2,Experimental
Drug_776,Gene_230,Protein_79,Psychosis,Azapirone,Mechanism_79,Approved,Investigational
Drug_777,Gene_180,Protein_235,Anxiety,Psychedelic,Mechanism_47,Phase 2,Investigational
Drug_778,Gene_164,Protein_268,Anxiety,SNRI,Mechanism_128,Phase 3,Approved
Drug_779,Gene_281,Protein_104,Depression,Glutamatergic Modulator,Mechanism_49,Phase 3,Approved
Drug_780,Gene_393,Protein_252,Psychosis,SNRI,Mechanism_141,Approved,Approved
Drug_781,Gene_202,Protein_14,Depression,Glutamatergic Modulator,Mechanism_130,Approved,Investigational
Drug_782,Gene_208,Protein_115,Depression,Beta-Blocker,Mechanism_116,Approved,Investigational
Drug_783,Gene_352,Protein_135,Psychosis,Glycine Modulator,Mechanism_12,Phase 1,Approved
Drug_784,Gene_347,Protein_77,Psychosis,Psychedelic,Mechanism_24,Approved,Experimental
Drug_785,Gene_444,Protein_85,Anxiety,Atypical Antipsychotic,Mechanism_78,Phase 1,Experimental
Drug_786,Gene_287,Protein_74,Psychosis,Beta-Blocker,Mechanism_140,Phase 1,Investigational
Drug_787,Gene_405,Protein_224,Psychosis,SSRI,Mechanism_148,Phase 1,Investigational
Drug_788,Gene_249,Protein_241,Depression,Orexin Antagonist,Mechanism_112,Preclinical,Experimental
Drug_789,Gene_210,Protein_161,Depression,Azapirone,Mechanism_99,Phase 2,Approved
Drug_790,Gene_7,Protein_24,Psychosis,Atypical Antipsychotic,Mechanism_95,Phase 1,Investigational
Drug_791,Gene_167,Protein_289,Psychosis,Benzodiazepine,Mechanism_31,Phase 1,Approved
Drug_792,Gene_246,Protein_130,Depression,SNRI,Mechanism_135,Phase 1,Investigational
Drug_793,Gene_31,Protein_116,Anxiety,Benzodiazepine,Mechanism_67,Approved,Experimental
Drug_794,Gene_449,Protein_273,Depression,Benzodiazepine,Mechanism_38,Preclinical,Experimental
Drug_795,Gene_103,Protein_243,Anxiety,NDRI,Mechanism_150,Phase 2,Investigational
Drug_796,Gene_294,Protein_47,Anxiety,Glutamatergic Modulator,Mechanism_98,Phase 1,Approved
Drug_797,Gene_289,Protein_47,Psychosis,Atypical Antipsychotic,Mechanism_167,Phase 2,Experimental
Drug_798,Gene_391,Protein_282,Depression,Beta-Blocker,Mechanism_113,Preclinical,Experimental
Drug_799,Gene_148,Protein_280,Depression,Psychedelic,Mechanism_177,Phase 2,Investigational
Drug_800,Gene_206,Protein_14,Psychosis,Azapirone,Mechanism_71,Preclinical,Investigational
Drug_801,Gene_441,Protein_20,Psychosis,SNRI,Mechanism_169,Phase 1,Investigational
Drug_802,Gene_205,Protein_207,Depression,SSRI,Mechanism_64,Preclinical,Approved
Drug_803,Gene_445,Protein_272,Depression,NaSSA,Mechanism_181,Preclinical,Experimental
Drug_804,Gene_401,Protein_230,Anxiety,SNRI,Mechanism_157,Phase 3,Experimental
Drug_805,Gene_272,Protein_280,Psychosis,Psychedelic,Mechanism_199,Approved,Investigational
Drug_806,Gene_203,Protein_158,Psychosis,SNRI,Mechanism_107,Preclinical,Approved
Drug_807,Gene_276,Protein_85,Anxiety,Psychedelic,Mechanism_167,Preclinical,Investigational
Drug_808,Gene_426,Protein_257,Anxiety,Azapirone,Mechanism_61,Phase 2,Experimental
Drug_809,Gene_323,Protein_11,Depression,NaSSA,Mechanism_33,Preclinical,Approved
Drug_810,Gene_316,Protein_72,Depression,Beta-Blocker,Mechanism_20,Approved,Experimental
Drug_811,Gene_430,Protein_39,Psychosis,Glycine Modulator,Mechanism_14,Phase 2,Investigational
Drug_812,Gene_419,Protein_168,Depression,SSRI,Mechanism_72,Phase 1,Investigational
Drug_813,Gene_294,Protein_137,Depression,Atypical Antipsychotic,Mechanism_6,Phase 1,Experimental
Drug_814,Gene_59,Protein_159,Psychosis,Beta-Blocker,Mechanism_80,Phase 3,Investigational
Drug_815,Gene_34,Protein_145,Depression,SSRI,Mechanism_164,Preclinical,Experimental
Drug_816,Gene_44,Protein_85,Anxiety,Glycine Modulator,Mechanism_33,Approved,Approved
Drug_817,Gene_39,Protein_234,Depression,Glycine Modulator,Mechanism_61,Phase 2,Investigational
Drug_818,Gene_159,Protein_149,Anxiety,Atypical Antipsychotic,Mechanism_113,Phase 2,Approved
Drug_819,Gene_151,Protein_150,Depression,Psychedelic,Mechanism_52,Phase 1,Experimental
Drug_820,Gene_265,Protein_139,Psychosis,Glutamatergic Modulator,Mechanism_42,Preclinical,Experimental
Drug_821,Gene_141,Protein_270,Depression,NaSSA,Mechanism_121,Preclinical,Investigational
Drug_822,Gene_384,Protein_4,Psychosis,NDRI,Mechanism_16,Phase 2,Approved
Drug_823,Gene_144,Protein_14,Depression,Glycine Modulator,Mechanism_167,Phase 3,Investigational
Drug_824,Gene_53,Protein_82,Psychosis,Orexin Antagonist,Mechanism_48,Phase 2,Experimental
Drug_825,Gene_329,Protein_67,Depression,Atypical Antipsychotic,Mechanism_129,Phase 1,Experimental
Drug_826,Gene_94,Protein_160,Depression,Beta-Blocker,Mechanism_71,Phase 1,Approved
Drug_827,Gene_12,Protein_266,Depression,Glutamatergic Modulator,Mechanism_143,Phase 1,Approved
Drug_828,Gene_402,Protein_298,Depression,Glutamatergic Modulator,Mechanism_51,Phase 2,Experimental
Drug_829,Gene_304,Protein_68,Depression,Psychedelic,Mechanism_131,Approved,Approved
Drug_830,Gene_483,Protein_181,Anxiety,Glutamatergic Modulator,Mechanism_172,Preclinical,Approved
Drug_831,Gene_430,Protein_165,Psychosis,NDRI,Mechanism_87,Phase 3,Investigational
Drug_832,Gene_142,Protein_123,Anxiety,NDRI,Mechanism_60,Preclinical,Approved
Drug_833,Gene_152,Protein_222,Psychosis,Orexin Antagonist,Mechanism_105,Preclinical,Investigational
Drug_834,Gene_83,Protein_292,Anxiety,Orexin Antagonist,Mechanism_48,Phase 2,Investigational
Drug_835,Gene_430,Protein_262,Anxiety,NaSSA,Mechanism_46,Preclinical,Experimental
Drug_836,Gene_34,Protein_129,Anxiety,Atypical Antipsychotic,Mechanism_41,Phase 1,Approved
Drug_837,Gene_177,Protein_150,Psychosis,Atypical Antipsychotic,Mechanism_200,Phase 3,Experimental
Drug_838,Gene_158,Protein_99,Psychosis,Benzodiazepine,Mechanism_12,Phase 1,Experimental
