Drug Name,Drug Class,Target,Mechanism of Action,Indication,Approval Year,Common Side Effects,Relevant Studies
Drug 349,NDRI,GABA Receptor,Inhibits reuptake of serotonine,Depression,1976,Akathisia,white et al. (2021)
Drug 350,TCA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Anxiety,1965,"Akathisia, Fatigue, Drowsiness",Thompson et al. (2019)
Drug 351,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,OCD,1965,Akathisia,Davis et al. (2021)
Drug 352,NDRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,2019,Headache,Smith et al. (2020)
Drug 353,SARI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Depression,1972,"Insomnia, Diarrhea",Johnson et al. (2019)
Drug 354,NaSSA,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Insomnia,1970,Insomnia,Johnson et al. (2019)
Drug 355,NDRI,GABA Receptor,Inhibits reuptake of serotonine,OCD,2000,"Diarrhea, Weight Gain",Brown et al. (2023)
Drug 356,TCA,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,1996,"Diarrhea, Drowsiness, Weight Gain",Nuss et al. 2020
Drug 357,SARI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Anxiety,2005,"Drowsiness, Diarrhea, Somolence",Nuss et al. 2020
Drug 358,Atypical Antipsychotic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,2008,Drowsiness,Garcia et al. (2020)
Drug 359,NaSSA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1993,Insomnia,Sullivan et al. (2017)
Drug 360,SSRI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,2019,Weight Gain,Parker et al. (2022)
Drug 361,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Depression,1981,Insomnia,Sullivan et al. (2017)
Drug 362,Atypical Antipsychotic,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1962,Headache,Johnson et al. (2019)
Drug 363,SSRI,Dopamine Receptors,Inhibits reuptake of serotonine,Bipolar Disorder,1970,"Drowsiness, Fatigue",Nuss et al. 2020
Drug 364,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,OCD,1990,"Fatigue, Insomnia",Nuss et al. 2020
Drug 365,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1987,Somolence,Thompson et al. (2019)
Drug 366,Anxiolytic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",OCD,2008,"Fatigue, Insomnia, Nursea",white et al. (2021)
Drug 367,TCA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,1964,"Headache, Diarrhea",Johnson et al. (2019)
Drug 368,NaSSA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,2003,"Dry Mouth, Headache, Somolence",Parker et al. (2022)
Drug 369,Anxiolytic,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Anxiety,2002,Fatigue,Garcia et al. (2020)
Drug 370,Atypical Antipsychotic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1980,"Akathisia, Fatigue",Thompson et al. (2019)
Drug 371,SARI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,2018,"Fatigue, Diarrhea, Akathisia",Sullivan et al. (2017)
Drug 372,TCA,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1973,Weight Gain,Davis et al. (2021)
Drug 373,SARI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Anxiety,1966,"Akathisia, Weight Gain, Nursea",Nuss et al. 2020
Drug 374,Anxiolytic,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1989,"Nursea, Fatigue",Thompson et al. (2019)
Drug 375,Atypical Antipsychotic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Depression,1969,Fatigue,Johnson et al. (2019)
Drug 376,Anxiolytic,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Depression,2019,"Somolence, Dry Mouth",Garcia et al. (2020)
Drug 377,Anxiolytic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1989,"Diarrhea, Akathisia",Garcia et al. (2020)
Drug 378,SARI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1996,Drowsiness,Davis et al. (2021)
Drug 379,Atypical Antipsychotic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1968,"Headache, Somolence",white et al. (2021)
Drug 380,Anxiolytic,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,OCD,2007,"Somolence, Fatigue, Dry Mouth",Sullivan et al. (2017)
Drug 381,Anxiolytic,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Anxiety,1978,Diarrhea,Smith et al. (2020)
Drug 382,NDRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Schizophrenia,1978,"Diarrhea, Headache",Parker et al. (2022)
Drug 383,NDRI,GABA Receptor,Inhibits reuptake of serotonine,Generalized Anxiety,1978,"Nursea, Diarrhea, Dry Mouth",Brown et al. (2023)
Drug 384,NaSSA,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1995,Nursea,Nuss et al. 2020
Drug 385,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Insomnia,1962,"Dry Mouth, Fatigue",Sullivan et al. (2017)
Drug 386,Atypical Antipsychotic,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,1967,Somolence,Nuss et al. 2020
Drug 387,SARI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,2008,"Akathisia, Diarrhea",Thompson et al. (2019)
Drug 388,Anxiolytic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Depression,2014,"Diarrhea, Akathisia",Smith et al. (2020)
Drug 389,TCA,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,1990,Headache,Nuss et al. 2020
Drug 390,Atypical Antipsychotic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,1962,Diarrhea,Nuss et al. 2020
Drug 391,TCA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Anxiety,1981,Drowsiness,white et al. (2021)
Drug 392,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2004,"Akathisia, Dry Mouth",Sullivan et al. (2017)
Drug 393,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Depression,2002,Nursea,Thompson et al. (2019)
Drug 394,NDRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Depression,1988,"Headache, Drowsiness, Fatigue",Sullivan et al. (2017)
Drug 395,SARI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Depression,2011,"Headache, Diarrhea",white et al. (2021)
Drug 396,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Bipolar Disorder,1991,"Weight Gain, Dry Mouth",Johnson et al. (2019)
Drug 397,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Bipolar Disorder,1969,"Drowsiness, Diarrhea",Nuss et al. 2020
Drug 398,NaSSA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,2010,"Dry Mouth, Insomnia, Nursea",Smith et al. (2020)
Drug 399,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Panic Disorder,1999,"Dry Mouth, Insomnia, Diarrhea",Nuss et al. 2020
Drug 400,Anxiolytic,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,OCD,2003,Fatigue,Smith et al. (2020)
Drug 401,SSRI,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Insomnia,2021,"Fatigue, Nursea",Brown et al. (2023)
Drug 402,Atypical Antipsychotic,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,2006,Drowsiness,Davis et al. (2021)
Drug 403,Anxiolytic,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1997,"Somolence, Drowsiness",Parker et al. (2022)
Drug 404,Atypical Antipsychotic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,2018,Somolence,Davis et al. (2021)
Drug 405,Atypical Antipsychotic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Depression,2006,"Fatigue, Headache",Smith et al. (2020)
Drug 406,SSRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,OCD,1986,Headache,Sullivan et al. (2017)
Drug 407,NaSSA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Anxiety,1982,Drowsiness,Brown et al. (2023)
Drug 408,NDRI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Anxiety,1962,"Dry Mouth, Diarrhea, Fatigue",Nuss et al. 2020
Drug 409,SARI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2007,Nursea,white et al. (2021)
Drug 410,SARI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,2016,Weight Gain,Parker et al. (2022)
Drug 411,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Depression,2001,"Headache, Diarrhea",Parker et al. (2022)
Drug 412,Atypical Antipsychotic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1967,Akathisia,Garcia et al. (2020)
Drug 413,TCA,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1970,Weight Gain,Nuss et al. 2020
Drug 414,SSRI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,OCD,1994,Somolence,Thompson et al. (2019)
Drug 415,NaSSA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Insomnia,2005,"Nursea, Fatigue",Brown et al. (2023)
Drug 416,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Panic Disorder,1988,"Nursea, Dry Mouth",Garcia et al. (2020)
Drug 417,SSRI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Depression,1989,Insomnia,Brown et al. (2023)
Drug 418,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Panic Disorder,1993,"Weight Gain, Headache",Johnson et al. (2019)
Drug 419,SSRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Anxiety,1994,"Nursea, Headache, Fatigue",Smith et al. (2020)
Drug 420,NDRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2012,Fatigue,Nuss et al. 2020
Drug 421,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1963,"Somolence, Insomnia",Johnson et al. (2019)
Drug 422,NDRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Anxiety,2011,Insomnia,Davis et al. (2021)
Drug 423,TCA,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1981,"Diarrhea, Akathisia, Headache",Thompson et al. (2019)
Drug 424,Atypical Antipsychotic,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1965,Diarrhea,Thompson et al. (2019)
Drug 425,NaSSA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Depression,1979,"Drowsiness, Akathisia",Brown et al. (2023)
Drug 426,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Bipolar Disorder,1993,"Fatigue, Drowsiness, Insomnia",Sullivan et al. (2017)
Drug 427,NaSSA,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1963,Headache,Davis et al. (2021)
Drug 428,TCA,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1968,"Fatigue, Diarrhea, Dry Mouth",white et al. (2021)
Drug 429,NaSSA,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1990,"Dry Mouth, Drowsiness",Davis et al. (2021)
Drug 430,TCA,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,1990,"Insomnia, Nursea, Somolence",Thompson et al. (2019)
Drug 431,TCA,Dopamine Receptors,Inhibits reuptake of serotonine,Schizophrenia,2014,Weight Gain,Thompson et al. (2019)
Drug 432,NDRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1986,"Nursea, Headache, Somolence",Garcia et al. (2020)
Drug 433,SARI,GABA Receptor,Inhibits reuptake of serotonine,OCD,1984,Drowsiness,Parker et al. (2022)
Drug 434,SSRI,Dopamine Receptors,Inhibits reuptake of serotonine,OCD,1962,"Drowsiness, Dry Mouth, Akathisia",Brown et al. (2023)
Drug 435,NaSSA,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2022,"Diarrhea, Fatigue, Drowsiness",Parker et al. (2022)
Drug 436,SARI,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1983,"Nursea, Insomnia, Drowsiness",Davis et al. (2021)
Drug 437,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Depression,2000,Fatigue,white et al. (2021)
Drug 438,TCA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Depression,1983,Headache,Parker et al. (2022)
Drug 439,Anxiolytic,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Anxiety,1988,"Akathisia, Drowsiness",white et al. (2021)
Drug 440,NaSSA,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1997,Somolence,white et al. (2021)
Drug 441,NaSSA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1982,"Diarrhea, Headache, Weight Gain",Nuss et al. 2020
Drug 442,TCA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Anxiety,1965,Akathisia,Brown et al. (2023)
Drug 443,NaSSA,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,2007,"Nursea, Dry Mouth, Diarrhea",Nuss et al. 2020
Drug 444,Anxiolytic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,1996,"Akathisia, Diarrhea, Somolence",Davis et al. (2021)
Drug 445,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,1986,"Dry Mouth, Insomnia",white et al. (2021)
Drug 446,Atypical Antipsychotic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,2022,"Nursea, Somolence, Headache",Johnson et al. (2019)
Drug 447,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Insomnia,2005,"Akathisia, Weight Gain, Somolence",Nuss et al. 2020
Drug 448,NaSSA,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1995,"Akathisia, Weight Gain",Parker et al. (2022)
Drug 449,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Insomnia,1988,"Dry Mouth, Headache, Akathisia",Sullivan et al. (2017)
Drug 450,Atypical Antipsychotic,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,OCD,1967,"Drowsiness, Dry Mouth, Nursea",Brown et al. (2023)
Drug 451,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1993,"Akathisia, Fatigue",Johnson et al. (2019)
Drug 452,NaSSA,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1989,Nursea,Sullivan et al. (2017)
Drug 453,SARI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Depression,2022,"Akathisia, Weight Gain, Diarrhea",Smith et al. (2020)
Drug 454,SSRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1996,Insomnia,Smith et al. (2020)
Drug 455,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Anxiety,1985,"Headache, Somolence",Brown et al. (2023)
Drug 456,Anxiolytic,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Anxiety,2000,"Dry Mouth, Headache",Brown et al. (2023)
Drug 457,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2013,Headache,Thompson et al. (2019)
Drug 458,SARI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1979,"Insomnia, Fatigue",Sullivan et al. (2017)
Drug 459,Atypical Antipsychotic,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1997,Weight Gain,Nuss et al. 2020
Drug 460,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Generalized Anxiety,1983,"Weight Gain, Drowsiness",Nuss et al. 2020
Drug 461,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1967,"Fatigue, Nursea, Akathisia",white et al. (2021)
Drug 462,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Insomnia,1971,"Headache, Insomnia",Smith et al. (2020)
Drug 463,TCA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,2012,Nursea,Davis et al. (2021)
Drug 464,SARI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,1960,"Diarrhea, Insomnia",Parker et al. (2022)
Drug 465,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1974,"Insomnia, Drowsiness, Somolence",white et al. (2021)
Drug 466,SARI,Dopamine Receptors,Inhibits reuptake of serotonine,Panic Disorder,2020,"Nursea, Weight Gain, Fatigue",Garcia et al. (2020)
Drug 467,NDRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1972,Nursea,Nuss et al. 2020
Drug 468,NDRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2015,"Nursea, Fatigue",Parker et al. (2022)
Drug 469,TCA,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Depression,2007,"Diarrhea, Akathisia, Drowsiness",Smith et al. (2020)
Drug 470,SARI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Depression,2009,"Nursea, Dry Mouth, Insomnia",Davis et al. (2021)
Drug 471,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Schizophrenia,2001,"Drowsiness, Weight Gain",Brown et al. (2023)
Drug 472,TCA,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Anxiety,1968,Headache,Brown et al. (2023)
Drug 473,TCA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,1995,"Diarrhea, Fatigue, Somolence",Thompson et al. (2019)
Drug 474,SARI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Anxiety,2017,"Somolence, Drowsiness, Dry Mouth",Thompson et al. (2019)
Drug 475,Atypical Antipsychotic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,OCD,2014,Nursea,Parker et al. (2022)
Drug 476,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1990,"Diarrhea, Headache",Smith et al. (2020)
Drug 477,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Insomnia,1994,Akathisia,Sullivan et al. (2017)
Drug 478,Anxiolytic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1999,"Akathisia, Nursea",Garcia et al. (2020)
Drug 479,Atypical Antipsychotic,GABA Receptor,Inhibits reuptake of serotonine,Insomnia,1969,"Somolence, Headache, Weight Gain",Parker et al. (2022)
Drug 480,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1969,"Insomnia, Drowsiness",Thompson et al. (2019)
Drug 481,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,OCD,2001,Nursea,Parker et al. (2022)
Drug 482,SARI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1984,"Headache, Somolence, Fatigue",Davis et al. (2021)
Drug 483,Anxiolytic,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Depression,1999,"Weight Gain, Headache",Davis et al. (2021)
Drug 484,NDRI,Dopamine Receptors,Inhibits reuptake of serotonine,Depression,1993,Nursea,Nuss et al. 2020
Drug 485,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Insomnia,1989,"Akathisia, Weight Gain, Nursea",Thompson et al. (2019)
Drug 486,Anxiolytic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,OCD,1983,"Insomnia, Drowsiness, Weight Gain",Parker et al. (2022)
Drug 487,SSRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Depression,2007,Somolence,Nuss et al. 2020
Drug 488,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,2000,"Drowsiness, Diarrhea, Akathisia",Davis et al. (2021)
Drug 489,NDRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Insomnia,1972,"Insomnia, Akathisia",Nuss et al. 2020
Drug 490,TCA,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1990,Fatigue,Sullivan et al. (2017)
Drug 491,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2022,"Insomnia, Diarrhea, Drowsiness",Garcia et al. (2020)
Drug 492,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Insomnia,1963,"Akathisia, Drowsiness",Thompson et al. (2019)
Drug 493,NaSSA,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1998,"Nursea, Insomnia, Weight Gain",Davis et al. (2021)
Drug 494,SSRI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,2005,"Akathisia, Drowsiness",white et al. (2021)
Drug 495,Atypical Antipsychotic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Insomnia,1983,"Dry Mouth, Fatigue, Nursea",Parker et al. (2022)
Drug 496,Atypical Antipsychotic,GABA Receptor,Inhibits reuptake of serotonine,Bipolar Disorder,1983,"Drowsiness, Akathisia",Garcia et al. (2020)
Drug 497,SSRI,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,2007,"Fatigue, Weight Gain, Drowsiness",Nuss et al. 2020
Drug 498,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Anxiety,1994,Diarrhea,Thompson et al. (2019)
Drug 499,TCA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,OCD,2011,Nursea,Parker et al. (2022)
Drug 500,NaSSA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,2007,Dry Mouth,Garcia et al. (2020)
